id	host	logname	time	method	url	bytes	useragent
ABC	wedding.eznet.com	-	807257751	GET	/shuttle/missions/sts-71/movies/movies.html	3381	
ABC	engei.engei-hs.oyama.tochigi.jp	-	807257752	GET	/images/MOSAIC-logosmall.gif	363	
ABC	wedding.eznet.com	-	807257753	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	12054	
ABC	engei.engei-hs.oyama.tochigi.jp	-	807257754	GET	/images/USA-logosmall.gif	234	
ABC	engei.engei-hs.oyama.tochigi.jp	-	807257756	GET	/images/WORLD-logosmall.gif	669	
ABC	pc-heh.icl.dk	-	807257757	GET	/shuttle/countdown/	4324	
ABC	pc-heh.icl.dk	-	807257758	GET	/images/KSC-logosmall.gif	1204	
ABC	pc-heh.icl.dk	-	807257759	GET	/shuttle/countdown/count70.gif	46573	
ABC	193.84.66.147	-	807257760	GET	/images/KSC-logosmall.gif	1204	
ABC	pc-heh.icl.dk	-	807257770	GET	/cgi-bin/imagemap/countdown70?71,222	110	
ABC	pc-heh.icl.dk	-	807257771	GET	/shuttle/missions/sts-70/images/images.html	8657	
ABC	violin-05.synapse.net	-	807257772	GET	/shuttle/countdown/liftoff.html	5220	
ABC	violin-05.synapse.net	-	807257777	GET	/images/NASA-logosmall.gif	786	
ABC	pc-heh.icl.dk	-	807257781	GET	/shuttle/missions/sts-70/images/KSC-95EC-0515.gif	39252	
ABC	pc-heh.icl.dk	-	807257795	GET	/shuttle/missions/sts-70/images/KSC-95EC-0649.gif	30043	
ABC	engei.engei-hs.oyama.tochigi.jp	-	807257795	GET	/shuttle/missions/missions.html	8677	
ABC	violin-05.synapse.net	-	807257796	GET	/shuttle/countdown/video/livevideo2.gif	71319	
ABC	pc-heh.icl.dk	-	807257808	GET	/shuttle/missions/sts-70/images/KSC-95EC-0768.gif	25000	
ABC	comm17p14.stcloud.msus.edu	-	807257817	GET	/history/apollo/apollo-11/apollo-11.html	44877	
ABC	pc-heh.icl.dk	-	807257822	GET	/shuttle/missions/sts-70/images/KSC-95EC-0852.gif	23107	
ABC	violin-05.synapse.net	-	807257822	GET	/shuttle/resources/orbiters/discovery.html	6849	
ABC	violin-05.synapse.net	-	807257823	GET	/shuttle/resources/orbiters/discovery-logo.gif	4179	
ABC	violin-05.synapse.net	-	807257826	GET	/shuttle/resources/orbiters/orbiters-logo.gif	1932	
ABC	violin-05.synapse.net	-	807257826	GET	/images/ksclogosmall.gif	3635	
ABC	wedding.eznet.com	-	807257827	GET	/shuttle/missions/sts-71/movies/sts-71-hand-shake.mpg	81920	
ABC	engei.engei-hs.oyama.tochigi.jp	-	807257828	GET	/images/launchmedium.gif	11853	
ABC	engei.engei-hs.oyama.tochigi.jp	-	807257843	GET	/images/KSC-logosmall.gif	1204	
ABC	violin-05.synapse.net	-	807257851	GET	/shuttle/resources/orbiters/enterprise.html	9732	
ABC	pc-heh.icl.dk	-	807257852	GET	/shuttle/missions/sts-70/images/KSC-95EC-1012.gif	32215	
ABC	violin-05.synapse.net	-	807257852	GET	/shuttle/resources/orbiters/enterprise-logo.gif	25257	
ABC	violin-05.synapse.net	-	807257857	GET	/images/landing-logo.gif	2582	
ABC	pc-heh.icl.dk	-	807257875	GET	/shuttle/missions/sts-70/images/KSC-95EC-1012.jpg	83915	
ABC	patches.jpl.nasa.gov	-	807257895	GET	/images/launchpalms-small.gif	11473	
ABC	www-c4.proxy.aol.com	-	807257904	GET	/shuttle/resources/orbiters/discovery.html	6849	
